,number,value,params_precip_const_1,params_precip_const_2,params_precip_const_3,params_precip_const_4,params_precip_const_5,params_precip_const_6,params_precip_const_7,params_precip_const_8,params_precip_const_9,params_precip_const_10,params_precip_const_11,params_precip_const_12,params_residual_const_1,params_residual_const_2,params_residual_const_3,params_residual_const_4,params_residual_const_5,params_residual_const_6,params_residual_const_7,params_residual_const_8,params_residual_const_9,params_residual_const_10,params_residual_const_11,params_residual_const_12,datetime_start,datetime_complete,duration,state,,
865,865,19.72399047,0.11,0.52,0.69,0.75,0.41,0.47,0.65,0.27,0.22,0.42,0.28,0.99,1,0.09,0.1,0.02,0.47,0.17,0.8,0.27,0.22,0.04,0.11,0.52,28:58.3,29:35.4,0 days 00:00:37.065580,COMPLETE,,
248,248,19.72576486,0.75,0.95,0.02,0.34,0.61,0.57,0.83,0.26,0.1,0.18,0.9,0.54,0.4,0.58,0.47,0.17,0.91,0.04,0.05,0.85,0.69,0.83,0.03,0.34,25:05.9,25:55.3,0 days 00:00:49.376729,COMPLETE,,
268,268,19.72627177,0.73,0.81,0.04,0.36,0.61,0.55,0.75,0.31,0.1,0.11,0.9,0.53,0.35,0.61,0.39,0.15,0.94,0.01,0.08,0.8,0.73,0.84,0.65,0.31,42:40.5,43:13.1,0 days 00:00:32.577129,COMPLETE,,
441,441,19.72891992,0.44,0.61,0.3,0.59,0.52,0.47,0.7,0.64,0.16,0.95,0.99,0.18,0.13,0.26,0.17,0.09,0.63,0.12,0.71,0.34,0.85,0.36,0.35,0.05,23:29.6,24:02.7,0 days 00:00:33.088662,COMPLETE,,
587,587,19.73238171,0.45,0.65,0.41,0.72,0.39,0.55,0.56,0.74,0.11,0.47,0.32,0.02,0.61,0.1,0.14,0.02,0.54,0.25,0.56,0.22,0.07,0.12,0.25,0.07,42:03.3,42:30.5,0 days 00:00:27.130405,COMPLETE,,
237,237,19.73358194,0.75,0.85,0.02,0.36,0.66,0.56,0.82,0.36,0.15,0.17,0.76,0.44,0.4,0.67,0.48,0.13,0.9,0.05,0.05,0.86,0.58,0.84,0.03,0.35,16:00.1,16:35.3,0 days 00:00:35.217092,COMPLETE,,
670,670,19.73465982,0,0.64,0.43,0.89,0.39,0.56,0.46,0.32,0.07,0.64,0.32,0.04,0.74,0.11,0.21,0.07,0.33,0.19,0.84,0.28,0.04,0.02,0.2,0.51,52:27.0,53:20.9,0 days 00:00:53.912586,COMPLETE,,
289,289,19.73592496,0.73,0.78,0.13,0.45,0.52,0.6,0.73,0.32,0.15,0.11,0.98,0.05,0.28,0.51,0.35,0.19,0.97,0,0.09,0.24,0.82,0.89,0.67,0.27,02:27.1,03:22.4,0 days 00:00:55.286042,COMPLETE,,
396,396,19.73597806,0.61,0.72,0.18,0.45,0.37,0.44,0.75,0.18,0.16,0.96,0.91,0.26,0.26,0.47,0.26,0,1,0.49,0.19,0.41,0.86,0.91,0.5,0.21,12:29.8,13:02.8,0 days 00:00:32.942353,COMPLETE,,
277,277,19.73614796,0.7,0.81,0.08,0.41,0.53,0.6,0.75,0.31,0.17,0.08,0.99,0.53,0.33,0.55,0.35,0.14,0.97,0,0.1,0.81,0.8,0.84,0.69,0.29,50:12.8,51:17.8,0 days 00:01:04.942974,COMPLETE,,
174,174,19.73805344,0.7,0.76,0.02,0.32,0.59,0.63,0.81,0.39,0.15,0.19,0.56,0.62,0.46,0.61,0.96,0.1,0.89,0.06,0.08,0.82,0.51,0.75,0.17,0.45,04:00.1,04:54.7,0 days 00:00:54.560906,COMPLETE,,
309,309,19.73886854,0.69,0.26,0.06,0.37,0.46,0.53,0.79,0.33,0.14,0.14,0.92,0.2,0.26,0.52,0.39,0.12,0.98,0.03,0.07,0.82,0.7,0.82,0.64,0.96,08:01.5,08:53.3,0 days 00:00:51.820811,COMPLETE,,
445,445,19.73929715,0.48,0.64,0.33,0.58,0.52,0.48,0.74,0.22,0.21,0.98,0.94,0.19,0.27,0.28,0.16,0.05,0.65,0.11,0.74,0.37,0.84,0.44,0.39,0.09,25:41.4,26:13.1,0 days 00:00:31.608668,COMPLETE,,
184,184,19.73962419,0.79,0.84,0.05,0.35,0.7,0.5,0.83,0.35,0.13,0.21,0.8,0.48,0.42,0.62,0.44,0.21,0.85,0.09,0.02,0.83,0.56,0.82,0.05,0.42,12:51.8,13:37.9,0 days 00:00:46.127139,COMPLETE,,
559,559,19.74016382,0.46,0.65,0.37,0.67,0.54,0.45,0.66,0.27,0.19,0.9,1,0.13,0.03,0.33,0.13,0.08,0.57,0.17,0.69,0.6,0.12,0.09,0.4,0.11,22:37.1,23:30.6,0 days 00:00:53.488352,COMPLETE,,
232,232,19.74101029,0.81,0.89,0.02,0.35,0.65,0.55,0.89,0.35,0.12,0.21,0.82,0.33,0.44,0.63,0.44,0.17,0.87,0.08,0.02,0.8,0.53,0.8,0.06,0.38,13:15.2,13:43.2,0 days 00:00:28.011383,COMPLETE,,
773,773,19.74328514,0.04,0.65,0.42,0.85,0.42,0.5,0.61,0.36,0.09,0.62,0.65,0.03,0.8,0.09,0.24,0.05,0.43,0.99,0.93,0.22,0.08,0.11,0.18,0.59,14:05.3,14:36.8,0 days 00:00:31.549622,COMPLETE,,
533,533,19.74731709,0.32,0.58,0.4,0.66,0.49,0.49,0.25,0.22,0.11,0.98,0.97,0.09,0.07,0.26,0.03,0,0.46,0.67,0.58,0.64,0.18,0.04,0.3,0.05,57:57.6,58:31.4,0 days 00:00:33.821981,COMPLETE,,
299,299,19.74748117,0.78,0.77,0.11,0.4,0.52,0.52,0.72,0.32,0.17,0.09,0.93,0.1,0.35,0.53,0.39,0.16,0.99,0.03,0.07,0.18,0,0.9,0.67,0.31,15:09.6,16:42.9,0 days 00:01:33.321299,COMPLETE,,
458,458,19.74806632,0.49,0.54,0.3,0.63,0.48,0.45,0.65,0.2,0.19,1,0.99,0.23,0.01,0.2,0.18,0.09,0.58,0.63,0.7,0.6,0.9,0.28,0.49,0,31:27.3,31:53.3,0 days 00:00:25.991568,COMPLETE,,
638,638,19.74955524,0.21,0.66,0.43,0.88,0.35,0.56,0.55,0.34,0.07,0.61,0.22,0,0.81,0.06,0.23,0.09,0.33,0.15,0.9,0.27,0.11,0.09,0.2,0.66,13:49.0,14:36.1,0 days 00:00:47.096459,COMPLETE,,
413,413,19.74984258,0.54,0.68,0.17,0.54,0.35,0.45,0.86,0.18,0.1,0.9,0.97,0.29,0.26,0.45,0.21,0.02,1,0.08,0.24,0.39,0.84,0.98,0.53,0.14,08:41.0,09:05.8,0 days 00:00:24.834543,COMPLETE,,
482,482,19.75078707,0.33,0.45,0.39,0.64,0.5,0.47,0.63,0.24,0.2,0.91,0.97,0.14,0.03,0.25,0.16,0.02,0.56,0.65,0.67,0.63,0.84,0.11,0.39,0.09,42:01.8,42:25.2,0 days 00:00:23.375778,COMPLETE,,
522,522,19.75212131,0.45,0.53,0.31,0.6,0.44,0.45,0.68,0.24,0.19,0.95,0.98,0.19,0.07,0.3,0.11,0.07,0.67,0.69,0.68,0.61,1,0.29,0.43,0.08,51:20.3,51:47.1,0 days 00:00:26.890948,COMPLETE,,
485,485,19.75422148,0.41,0.52,0.3,0.59,0.49,0.45,0.71,0.27,0.15,0.95,0.98,0.18,0.09,0.29,0.1,0.42,0.6,0.67,0.69,0.68,0.86,0.23,0.41,0.09,43:15.3,43:41.2,0 days 00:00:25.941773,COMPLETE,,
463,463,19.7543716,0.53,0.47,0.29,0.62,0.46,0.43,0.69,0.18,0.19,0.96,0.96,0.2,0.02,0.33,0.15,0.07,0.61,0.58,0.76,0.57,0.89,0.32,0.51,0.1,33:42.4,34:10.9,0 days 00:00:28.498989,COMPLETE,,
224,224,19.75515287,0.77,0.89,0.05,0.35,0.63,0.53,0.94,0.3,0.11,0.22,0.8,0.44,0.39,0.63,0.43,0.16,0.81,0.1,0.07,0.82,0.59,0.87,0.05,0.38,06:01.9,07:05.8,0 days 00:01:03.867719,COMPLETE,,
344,344,19.75706673,0.66,0.76,0.14,0.64,0.33,0.5,0.8,0.18,0.16,0.92,0.9,0.34,0.07,0.44,0.27,0.03,0.98,0.04,0.23,0.44,0.76,0.95,0.46,0.19,37:03.1,37:59.6,0 days 00:00:56.506871,COMPLETE,,
101,101,19.75748008,0.7,0.75,0.48,0.35,0.68,0.64,0.64,0.49,0.11,0.41,0.02,0.49,0.47,0.67,0.46,0.12,0.86,0.1,0.32,0.79,0.43,0.75,1,0.32,52:02.5,52:54.3,0 days 00:00:51.758776,COMPLETE,,
704,704,19.7599952,0.21,0.69,0.47,0.81,0.3,0.5,0.5,0.35,0.07,0.5,0.44,0.05,0.81,0.06,0.18,0.12,0.44,0.14,0.98,0.33,0.14,0.03,0.19,0.58,27:22.0,27:50.9,0 days 00:00:28.914473,COMPLETE,,
987,987,19.76071875,0.08,0.25,0.74,0.73,0.45,0.52,0.58,0.22,0.07,0.4,0.43,0.91,0.94,0.04,0,0.05,0.5,0.26,0.85,0.2,0.38,0.06,0.16,0.54,02:44.0,03:55.9,0 days 00:01:11.930112,COMPLETE,,
326,326,19.76204259,0.65,0.77,0.15,0.51,0.49,0.51,0.79,0.2,0.13,1,0.91,0.32,0.18,0.43,0.35,0.08,1,0.95,0.17,0.57,0.75,0.96,0.47,0.25,22:40.6,23:39.2,0 days 00:00:58.634751,COMPLETE,,
465,465,19.762093,0.45,0.52,0.22,0.59,0.49,0.46,0.71,0.19,0.18,0.95,0.98,0.23,0.09,0.24,0.12,0.03,0.64,0.64,0.73,0.59,0.84,0.46,0.53,0,34:37.4,35:00.6,0 days 00:00:23.282336,COMPLETE,,
347,347,19.76259627,0.66,0.76,0.15,0.54,0.44,0.45,0.8,0.16,0.09,0.98,0.91,0.32,0.22,0.42,0.29,0,0.98,0.04,0.17,0.56,0.76,0.93,0.41,0.17,39:50.1,40:46.2,0 days 00:00:56.088117,COMPLETE,,
552,552,19.76432324,0.37,0.63,0.39,0.79,0.48,0.46,0.74,0.26,0.14,0.9,0.98,0.12,0.89,0.32,0.1,0.04,0.56,0.75,0.64,0.65,0.09,0.1,0.38,0.12,13:59.0,15:03.2,0 days 00:01:04.129876,COMPLETE,,
332,332,19.76648812,0.65,0.75,0.14,0.49,0.43,0.48,0.81,0.15,0.08,0.94,0.92,0.27,0.24,0.39,0.33,0.02,1,0.04,0.17,0.54,0.78,0.95,0.43,0.23,27:31.3,28:09.8,0 days 00:00:38.472135,COMPLETE,,
228,228,19.76658755,0.77,0.83,0,0.37,0.64,0.55,0.89,0.35,0.1,0.24,0.81,0.52,0.39,0.66,0.43,0.17,0.9,0.05,0.02,0.85,0.63,0.86,0.05,0.38,09:39.1,10:29.6,0 days 00:00:50.457319,COMPLETE,,
766,766,19.76686106,0.27,0.69,0.41,0.92,0.36,0.53,0.59,0.31,0.07,0.51,0.29,0,0.83,0.07,0.24,0.04,0.42,0.15,0.93,0.21,0.08,0.04,0.2,0.57,10:18.8,10:59.8,0 days 00:00:40.923939,COMPLETE,,
313,313,19.76787716,0.69,0.81,0.06,0.38,0.47,0.55,0.76,0.19,0.15,0.11,0.95,0.25,0.22,0.49,0.37,0.14,0.94,0,0.09,0.07,0.66,0.85,0.75,0.28,11:48.0,12:30.8,0 days 00:00:42.752361,COMPLETE,,
371,371,19.76791361,0.49,0.69,0.16,0.5,0.46,0.38,0.8,0.2,0.18,0.79,0.89,0.25,0.27,0.46,0.25,0,0.96,0.47,0.2,0.57,0.93,1,0.48,0.24,57:58.1,58:30.5,0 days 00:00:32.442280,COMPLETE,,
508,508,19.76912114,0.47,0.63,0.35,0.58,0.48,0.45,0.7,0.7,0.15,0.89,0.96,0.15,0.08,0.21,0.15,0.04,0.56,0.75,0.71,0.66,0.85,0.31,0.34,0.04,43:34.0,44:06.1,0 days 00:00:32.084422,COMPLETE,,
132,132,19.76930651,0.64,0.66,0.54,0.33,0.66,0.63,0.7,0.43,0.11,0.33,0.88,0.56,0.4,0.67,0.87,0.1,0.84,0.06,0.38,0.94,0.52,0.63,0.93,0.22,26:12.1,27:05.7,0 days 00:00:53.554012,COMPLETE,,
251,251,19.76965395,0.76,0.92,0.02,0.32,0.63,0.58,0.8,0.26,0.1,0.16,0.86,0.55,0.4,0.6,0.47,0.13,0.88,0.04,0.02,0.85,0.7,0.78,0.02,0.35,29:48.0,31:43.4,0 days 00:01:55.430854,COMPLETE,,
133,133,19.77083753,0.62,0.66,0.54,0.33,0.67,0.62,0.81,0.42,0.11,0.32,0.89,0.55,0.29,0.67,0.87,0.1,0.84,0.05,0.27,1,0.44,0.63,0.96,0.21,27:05.7,28:09.2,0 days 00:01:03.474988,COMPLETE,,
279,279,19.77088224,0.74,0.79,0.1,0.4,0.54,0.58,0.76,0.28,0.15,0.06,0.97,0.11,0.31,0.55,0.32,0.14,1,0,0.1,0.79,0.84,0.86,0.67,0.28,52:11.7,52:49.3,0 days 00:00:37.637157,COMPLETE,,
382,382,19.77181991,0.41,0.73,0.13,0.52,0.46,0.35,0.82,0.21,0.11,0.93,0.9,0.3,0.16,0.37,0.19,0.03,0.98,0.47,0.14,0.4,0.89,0.94,0.51,0.25,04:21.6,04:57.2,0 days 00:00:35.656336,COMPLETE,,
211,211,19.77255913,0.81,0.86,0.05,0.35,0.63,0.49,0.93,0.37,0.13,0.18,0.83,0.43,0.41,0.59,0.42,0.15,0.86,0.06,0,0.81,0.58,0.82,0.09,0.42,55:33.9,56:17.2,0 days 00:00:43.278187,COMPLETE,,
290,290,19.77441669,0.69,0.43,0.08,0.47,0.55,0.58,0.75,0.29,0.15,0.08,1,0.19,0.3,0.5,0.2,0.16,1,0.02,0.11,0.15,0.81,0.86,0.59,0.28,03:22.4,04:03.3,0 days 00:00:40.830447,COMPLETE,,
515,515,19.77452928,0.43,0.61,0.3,0.65,0.43,0.42,0.73,0.27,0.2,0.96,0.98,0.16,0.07,0.32,0.12,0.05,0.54,0.73,0.69,0.7,0.96,0.12,0.42,0.11,47:47.9,48:22.7,0 days 00:00:34.809742,COMPLETE,,
306,306,19.77459363,0.72,0.83,0.11,0.53,0.53,0.51,0.75,0.23,0.17,0.09,1,0.14,0.33,0.54,0.35,0.16,0.34,0.03,0.09,0.77,0.75,0.8,0.69,0.3,05:19.7,06:15.3,0 days 00:00:55.535892,COMPLETE,,
959,959,19.77534035,0.16,0.33,0.57,0.7,0.48,0.31,0.61,0.24,0.16,0.43,0.44,0.69,0.95,0.02,0,0.02,0.52,0.3,0.92,0.14,0.3,0.06,0.15,0.55,36:57.5,37:49.8,0 days 00:00:52.279194,COMPLETE,,
535,535,19.77644508,0.34,0.66,0.39,0.76,0.54,0.5,0.71,0.26,0.11,0.98,0.96,0.03,0.05,0.28,0.07,0.09,0.48,0.71,0.63,0.63,0.31,0.08,0.34,0.07,59:30.8,00:24.7,0 days 00:00:53.894958,COMPLETE,,
570,570,19.77954629,0.47,0.65,0.4,0.67,0.38,0.54,0.62,0.3,0.07,0.53,0.98,0.09,0.13,0.22,0.09,0.02,0.52,0.6,0.61,0.69,0.04,0.09,0.27,0.12,29:38.9,30:38.7,0 days 00:00:59.799030,COMPLETE,,
192,192,19.78323731,0.83,0.88,0.02,0.39,0.64,0.51,0.85,0.35,0.13,0.23,0.79,0.48,0.49,0.63,0.47,0.19,0.84,0.08,0.01,0.83,0.63,0.93,0.06,0.41,18:21.8,18:53.2,0 days 00:00:31.454384,COMPLETE,,
509,509,19.7849669,0.42,0.57,0.29,0.56,0.51,0.49,0.68,0.24,0.19,0.97,0.97,0.1,0.02,0.12,0.12,0.02,0.6,0.83,0.77,0.69,0.99,0.38,0.36,0,44:06.1,44:42.4,0 days 00:00:36.318577,COMPLETE,,
242,242,19.7856727,0.74,0.93,0.01,0.33,0.62,0.53,0.83,0.26,0.09,0.17,0.86,0.53,0.42,0.59,0.47,0.17,0.9,0.04,0.01,0.86,0.52,0.82,0.07,0.32,19:36.0,20:28.8,0 days 00:00:52.733086,COMPLETE,,
648,648,19.78578265,0.25,0.65,0.39,0.81,0.29,0.55,0.53,0.34,0.07,0.61,0.22,0.04,0.88,0.12,0.18,0.11,0.43,0.2,1,0.21,0.06,0.09,0.19,0.67,22:18.3,22:56.8,0 days 00:00:38.515927,COMPLETE,,
379,379,19.78622068,0.6,0.7,0.12,0.48,0.31,0.39,0.77,0.14,0.15,0.87,0.92,0.28,0.26,0.39,0.36,0.05,1,0.45,0.16,0.46,0.79,0.95,0.53,0.24,02:31.1,03:02.4,0 days 00:00:31.293124,COMPLETE,,
590,590,19.78657399,0.43,0.64,0.46,0.73,0.41,0.56,0.63,0.33,0.07,0.53,0.18,0.05,0.12,0.15,0.21,0,0.57,0.24,0.65,0.25,0.12,0.1,0.24,0.8,43:29.9,43:59.5,0 days 00:00:29.592342,COMPLETE,,
263,263,19.78782606,0.76,0.82,0.04,0.31,0.58,0.59,0.76,0.3,0.11,0.14,0.92,0.55,0.35,0.61,0.45,0.13,0.93,0.02,0.09,0.8,0.79,0.79,0.54,0.35,39:02.2,39:35.2,0 days 00:00:32.928818,COMPLETE,,
207,207,19.78792258,0.84,0.87,0.03,0.38,0.69,0.48,0.94,0.34,0.13,0.21,0.85,0.49,0.42,0.59,0.47,0.15,0.83,0.11,0.02,0.77,0.55,0.87,0.11,0.36,52:52.5,53:24.4,0 days 00:00:31.860496,COMPLETE,,
187,187,19.78844508,0.79,0.88,0.03,0.39,0.65,0.49,0.82,0.35,0.13,0.21,0.8,0.48,0.45,0.62,0.44,0.22,0.84,0.09,0,0.84,0.58,0.9,0.04,0.41,15:20.1,15:58.7,0 days 00:00:38.533578,COMPLETE,,
215,215,19.78894169,0.82,0.9,0.04,0.38,0.66,0.5,0.92,0.33,0.11,0.2,0.78,0.42,0.42,0.97,0.34,0.15,0.89,0.1,0.04,0.78,0.57,0.81,0,0.41,58:23.0,59:11.1,0 days 00:00:48.167913,COMPLETE,,
297,297,19.78911256,0.76,0.28,0.07,0.42,0.49,0.61,0.76,0.27,0.14,0.1,1,0.08,0.32,0.49,0.17,0.18,0.96,0,0.13,0.37,0.68,0.86,0.65,0.29,12:12.0,13:19.4,0 days 00:01:07.346848,COMPLETE,,
185,185,19.78950746,0.79,0.87,0.04,0.38,0.7,0.52,0.82,0.35,0.13,0.21,0.8,0.53,0.44,0.62,0.45,0.19,0.84,0.09,0,0.83,0.55,0.8,0.06,0.39,13:37.9,14:37.8,0 days 00:00:59.867501,COMPLETE,,
196,196,19.79004551,0.81,0.89,0.05,0.38,0.7,0.52,0.86,0.32,0.12,0.25,0.79,0.41,0.45,0.66,0.42,0.2,0.8,0.1,0,0.76,0.62,0.84,0.08,0.39,20:44.8,21:16.5,0 days 00:00:31.669264,COMPLETE,,
754,754,19.79066329,0.15,0.67,0.61,0.83,0.41,0.57,0.57,0.34,0.14,0.59,0.39,0.01,0.75,0.05,0.61,0.29,0.4,0.14,1,0.19,0.03,0.09,0.21,0.56,02:39.3,03:27.5,0 days 00:00:48.164653,COMPLETE,,
368,368,19.79094585,0.58,0.69,0.12,0.51,0.43,0.34,0.78,0.18,0.1,1,0.88,0.28,0.21,0.42,0.35,0,0.98,0.4,0.18,0.41,0.75,0.96,0.47,0.22,55:46.8,56:35.8,0 days 00:00:49.020641,COMPLETE,,
366,366,19.79130023,0.62,0.72,0.15,0.47,0.46,0.42,0.78,0.13,0.09,0.91,0.91,0.23,0.26,0.46,0.31,0.06,0.97,0.07,0.15,0.36,0.78,0.92,0.51,0.24,54:13.0,54:54.7,0 days 00:00:41.732691,COMPLETE,,
218,218,19.7932656,0.88,0.85,0.06,0.35,0.66,0.49,0.91,0.31,0.16,0.21,0.77,0.45,0.41,0.61,0.5,0.15,0.85,0.05,0.03,0.82,0.55,0.79,0.1,0.41,00:29.6,01:06.9,0 days 00:00:37.306169,COMPLETE,,
189,189,19.79623726,0.8,0.86,0.05,0.39,0.71,0.5,0.79,0.34,0.13,0.21,0.79,0.47,0.45,0.65,0.45,0.19,0.83,0.1,0.03,0.84,0.6,0.91,0.05,0.39,16:33.8,17:11.5,0 days 00:00:37.733418,COMPLETE,,
201,201,19.79951942,0.79,0.9,0,0.38,0.67,0.46,0.9,0.32,0.13,0.26,0.83,0.49,0.43,0.62,0.46,0.18,0.85,0.08,0,0.79,0.56,0.86,0.09,0.42,48:13.8,49:29.5,0 days 00:01:15.733766,COMPLETE,,
340,340,19.80220219,0.66,0.75,0.2,0.55,0.38,0.47,0.82,0.09,0.17,0.97,0.94,0.3,0.2,0.34,0.32,0.02,1,0.05,0.19,0.55,0.77,0.94,0.37,0.22,32:57.2,33:59.9,0 days 00:01:02.708369,COMPLETE,,
239,239,19.80265838,0.78,0.84,0.02,0.36,0.66,0.55,0.85,0.36,0.16,0.17,0.74,0.44,0.39,0.63,0.53,0.13,0.87,0.05,0.06,0.75,0.58,0.77,0.04,0.35,17:29.8,18:12.8,0 days 00:00:43.039889,COMPLETE,,
521,521,19.80474162,0.42,0.57,0.38,0.62,0.46,0.48,0.7,0.29,0.21,0.93,0.95,0.18,0.04,0.21,0.09,0.05,0.58,0.73,0.73,0.68,0.97,0.35,0.4,0.11,50:53.7,51:20.3,0 days 00:00:26.588424,COMPLETE,,
806,806,19.80515957,0.14,0.56,0.62,0.79,0.42,0.81,0.61,0.27,0.16,0.45,0.33,0.97,0.95,0.09,0.12,0.02,0.47,0.15,0.84,0.34,0.22,0.05,0.09,0.6,41:03.3,41:41.9,0 days 00:00:38.553460,COMPLETE,,
150,150,19.80595094,0.59,0.74,0.18,0.3,0.63,0.67,0.84,0.42,0.14,0.19,0.62,0.65,0.42,0.6,0.99,0.1,0.93,0.07,0.14,0.91,0.43,0.65,0.18,0.4,41:18.2,42:06.6,0 days 00:00:48.411260,COMPLETE,,
305,305,19.80795287,0.76,0.81,0.06,0.4,0.57,0.55,0.74,0.31,0.12,0.05,0.96,0.17,0.37,0.56,0.38,0.12,0.94,0.02,0.07,0.78,0.86,0.83,0.66,0.33,04:28.0,05:19.7,0 days 00:00:51.728779,COMPLETE,,
799,799,19.80795594,0.12,0.59,0.6,0.77,0.4,0.48,0.64,0.27,0.06,0.47,0.32,0.77,0.91,0.05,0.16,0.03,0.47,0.14,0.82,0.3,0.23,0.05,0.09,0.57,31:55.3,32:32.8,0 days 00:00:37.462280,COMPLETE,,
526,526,19.80835538,0.37,0.64,0.42,0.71,0.46,0.51,0.72,0.28,0.14,0.91,1,0.08,0.09,0.29,0.03,0.36,0.53,0.68,0.54,0.67,0.11,0.01,0.37,0.1,53:13.5,53:55.9,0 days 00:00:42.454310,COMPLETE,,
212,212,19.80948271,0.79,0.86,0.05,0.35,0.66,0.49,0.92,0.37,0.13,0.15,0.84,0.42,0.41,0.62,0.42,0.15,0.86,0.06,0,0.81,0.59,0.82,0.07,0.41,56:17.2,56:57.9,0 days 00:00:40.707737,COMPLETE,,
420,420,19.81110385,0.6,0.65,0.2,0.54,0.51,0.44,0.77,0.23,0.18,0.97,0.89,0.2,0.2,0.22,0.23,0,0.46,0.07,0.13,0.61,0.83,0.99,0.47,0.12,11:43.2,12:10.6,0 days 00:00:27.460489,COMPLETE,,
233,233,19.81348324,0.81,0.88,0.04,0.35,0.64,0.54,0.87,0.35,0.09,0.21,0.8,0.34,0.45,0.64,0.43,0.14,0.9,0.05,0.02,0.81,0.51,0.8,0.05,0.38,13:43.2,14:14.0,0 days 00:00:30.798359,COMPLETE,,
93,93,19.81386867,0.78,0.72,0.48,0.28,0.63,0.72,0.65,0.36,0.12,0.43,0.08,0.65,0.44,0.75,0.44,0.09,0.88,0.06,0.31,0.79,0.49,0.68,0.98,0.28,04:00.4,04:30.8,0 days 00:00:30.390324,COMPLETE,,
492,492,19.81593192,0.44,0.65,0.39,0.62,0.53,0.45,0.66,0.25,0.21,0.92,1,0.11,0.07,0.24,0.1,0.02,0.47,0.78,0.62,0.68,0.96,0.21,0.35,0.06,46:13.1,46:40.1,0 days 00:00:26.937106,COMPLETE,,
114,114,19.81628925,0.72,0.59,0.49,0.34,0.56,0.67,0.68,0.5,0.13,0.48,0.04,0.5,0.31,0.74,0.45,0.07,0.75,0.12,0.25,0.84,0.51,0.74,0.97,0.19,06:58.3,08:26.5,0 days 00:01:28.131287,COMPLETE,,
472,472,19.8181878,0.4,0.51,0.38,0.66,0.45,0.43,0.67,0.25,0.2,0.91,1,0.12,0.08,0.3,0.13,0.02,0.63,0.67,0.7,0.7,0.83,0.18,0.38,0.09,37:43.8,38:09.1,0 days 00:00:25.266636,COMPLETE,,
152,152,19.81906482,0.59,0.73,0.17,0.32,0.62,0.63,0.87,0.39,0.15,0.18,0.65,0.65,0.37,0.6,0.98,0.1,0.93,0,0.13,0.93,0.39,0.66,0.13,0.43,42:49.5,43:39.8,0 days 00:00:50.348146,COMPLETE,,
94,94,19.81954691,0.79,0.72,0.4,0.28,0.66,0.71,0.65,0.44,0.12,0.35,0.08,0.58,0.43,0.66,0.46,0.13,0.87,0.06,0.28,0.79,0.49,0.66,0.98,0.24,04:30.8,05:22.6,0 days 00:00:51.776969,COMPLETE,,
783,783,19.82102568,0.02,0.64,0.37,0.86,0.36,0.56,0.61,0.34,0.14,0.75,0.26,0.87,0.85,0.19,0.2,0.53,0.5,0.1,0.86,0.3,0.09,0.1,0.21,0.55,21:29.9,22:06.6,0 days 00:00:36.702476,COMPLETE,,
249,249,19.82252679,0.74,0.98,0.02,0.34,0.61,0.57,0.83,0.27,0.09,0.13,0.93,0.54,0.4,0.58,0.47,0.17,0.91,0.02,0.06,0.87,0.73,0.83,0.03,0.33,25:55.3,28:03.6,0 days 00:02:08.296879,COMPLETE,,
363,363,19.82319473,0.6,0.69,0.15,0.53,0.45,0.44,0.78,0.14,0.18,0.88,0.91,0.26,0.25,0.42,0.26,0.02,0.96,0.07,0.17,0.42,0.81,0.93,0.5,0.17,51:41.7,52:35.0,0 days 00:00:53.280608,COMPLETE,,
149,149,19.82328591,0.59,0.75,0.11,0.29,0.62,0.67,0.84,0.41,0.15,0.19,0.76,0.54,0.4,0.6,0.99,0.11,0.92,0.07,0.12,0.92,0.44,0.66,0.32,0.35,40:30.7,41:18.2,0 days 00:00:47.466986,COMPLETE,,
365,365,19.8238864,0.61,0.71,0.13,0.51,0.25,0.43,0.78,0.11,0.16,0.93,0.89,0.33,0.23,0.44,0.26,0.02,0.96,0.6,0.17,0.39,0.84,0.94,0.49,0.21,53:32.1,54:13.0,0 days 00:00:40.882203,COMPLETE,,
274,274,19.82776376,0.72,0.79,0.1,0.37,0.56,0.56,0.74,0.32,0.18,0.11,0.96,0.29,0.34,0.55,0.38,0.15,0.98,0,0.1,0.8,0.75,0.84,0.65,0.3,47:42.6,48:40.5,0 days 00:00:57.843881,COMPLETE,,
180,180,19.82934519,0.78,0.83,0.04,0.32,0.66,0.54,0.83,0.28,0.17,0.16,0.81,0.53,0.36,0.61,0.43,0.16,0.86,0.06,0.06,0.82,0.57,0.75,0.15,0.42,09:19.1,10:09.9,0 days 00:00:50.792045,COMPLETE,,
343,343,19.83037129,0.66,0.72,0.16,0.59,0.42,0.48,0.8,0.15,0.18,0.9,0.95,0.26,0.12,0.41,0.33,0,0.98,0.07,0.16,0.54,0.8,0.94,0.38,0.14,36:08.0,37:03.1,0 days 00:00:55.073340,COMPLETE,,
161,161,19.83061402,0.65,0.77,0.11,0.36,0.62,0.67,0.83,0.4,0.12,0.1,0.71,0.6,0.32,0.56,0.91,0.1,0.89,0.04,0.12,0.92,0.43,0.61,0.21,0.56,51:54.4,52:54.1,0 days 00:00:59.672314,COMPLETE,,
200,200,19.83186744,0.83,0.85,0.04,0.39,0.64,0.49,0.79,0.36,0.11,0.2,0.81,0.4,0.5,0.66,0.48,0.21,0.79,0.13,0.03,0.85,0.59,0.93,0.04,0.45,47:15.5,48:13.8,0 days 00:00:58.313539,COMPLETE,,
