,number,value,params_precip_const_1,params_precip_const_2,params_precip_const_3,params_precip_const_4,params_precip_const_5,params_precip_const_6,params_precip_const_7,params_precip_const_8,params_precip_const_9,params_precip_const_10,params_precip_const_11,params_precip_const_12,params_residual_const_1,params_residual_const_2,params_residual_const_3,params_residual_const_4,params_residual_const_5,params_residual_const_6,params_residual_const_7,params_residual_const_8,params_residual_const_9,params_residual_const_10,params_residual_const_11,params_residual_const_12,datetime_start,datetime_complete,duration,state,,
582,582,19.37196133,0.43,0.66,0.41,0.72,0.41,0.53,0.63,0.28,0.11,0.51,0.58,0.06,0.15,0.17,0.1,0.04,0.52,0.19,0.65,0.23,0.1,0.1,0.22,0.08,38:44.2,39:23.1,0 days 00:00:38.937782,COMPLETE,,
913,913,19.37220687,0.06,0.35,0.76,0.68,0.44,0.46,0.61,0.23,0.13,0.46,0.38,0.96,0.98,0.03,0.04,0,0.51,0.24,0.89,0.22,0.34,0.05,0.11,0.5,04:05.9,04:55.6,0 days 00:00:49.707408,COMPLETE,,
970,970,19.3726547,0.1,0.3,0.69,0.73,0.45,0.5,0.64,0.21,0.13,0.41,0.36,0.78,0.98,0.02,0.07,0,0.48,0.32,0.89,0.16,0.33,0.08,0.13,0.53,46:34.1,47:07.2,0 days 00:00:33.089846,COMPLETE,,
774,774,19.3730943,0.09,0.63,0.38,0.87,0.37,0.55,0.64,0.32,0.14,0.52,0.42,0.81,0.84,0.18,0.19,0.04,0.37,0.17,0.91,0.25,0.13,0.07,0.14,0.53,14:36.8,15:13.3,0 days 00:00:36.444176,COMPLETE,,
905,905,19.37443634,0.06,0.32,0.7,0.7,0.45,0.45,0.63,0.25,0.13,0.44,0.36,0.98,1,0.05,0.01,0,0.51,0.27,0.89,0.24,0.3,0.06,0,0.46,58:55.2,59:45.5,0 days 00:00:50.336413,COMPLETE,,
858,858,19.37599654,0.09,0.55,0.57,0.74,0.42,0.47,0.64,0.27,0.15,0.5,0.33,0.97,0.99,0.11,0.1,0.03,0.45,0.11,0.8,0.37,0.22,0.02,0.09,0.49,25:10.6,25:43.9,0 days 00:00:33.242270,COMPLETE,,
695,695,19.37715209,0.17,0.71,0.52,0.87,0.32,0.53,0.52,0.31,0.13,0.55,0.47,0.07,0.83,0.02,0.19,0.09,0.38,0.12,0.91,0.17,0.15,0.02,0.2,0.53,22:04.6,22:49.3,0 days 00:00:44.667710,COMPLETE,,
831,831,19.37968187,0.11,0.52,0.62,0.75,0.41,0.49,0.64,0.27,0.16,0.48,0.32,0.68,0.98,0.1,0.11,0,0.5,0.14,0.87,0.32,0.21,0.02,0.13,0.61,02:43.5,03:31.1,0 days 00:00:47.645330,COMPLETE,,
683,683,19.37979798,0.17,0.69,0.5,0.83,0.3,0.51,0.57,0.35,0.12,0.53,0.5,0.05,0.81,0.01,0.19,0.1,0.44,0.12,0.94,0.33,0.11,0,0.2,0.56,07:50.5,09:02.8,0 days 00:01:12.354965,COMPLETE,,
627,627,19.37992511,0.05,0.66,0.4,0.89,0.37,0.52,0.5,0.38,0.12,0.61,0.23,0.02,0.79,0.03,0.19,0.1,0.38,0.18,0.91,0.26,0.07,0.07,0.2,0.69,07:25.8,08:05.0,0 days 00:00:39.260907,COMPLETE,,
563,563,19.38011342,0.47,0.67,0.36,0.66,0.42,0.48,0.65,0.29,0.13,0.57,1,0.11,0.1,0.23,0.14,0.05,0.54,0.64,0.63,0.24,0.12,0.12,0.29,0.12,25:37.7,26:20.4,0 days 00:00:42.653020,COMPLETE,,
910,910,19.38063939,0.06,0.4,0.63,0.69,0.44,0.47,0.62,0.19,0.13,0.48,0.34,1,0.96,0.05,0.02,0,0.51,0.27,0.86,0.25,0.27,0.04,0.04,0.47,01:55.4,02:34.0,0 days 00:00:38.574788,COMPLETE,,
600,600,19.3810213,0.39,0.63,0.43,0.7,0.41,0.53,0.59,0.33,0.11,0.57,0.23,0.01,0.85,0.15,0.17,0.03,0.52,0.16,0.9,0.28,0.11,0.07,0.18,0.59,52:47.3,53:15.8,0 days 00:00:28.562011,COMPLETE,,
736,736,19.38292724,0.27,0.69,0.41,0.88,0.37,0.55,0.53,0.32,0.13,0.63,0.44,0.03,0.74,0.16,0.23,0.09,0.35,0.19,0.96,0.2,0.03,0.07,0.18,0.51,49:43.6,50:33.4,0 days 00:00:49.870900,COMPLETE,,
708,708,19.38462055,0.14,0.68,0.97,0.84,0.36,0.5,0.57,0.33,0.13,0.57,0.57,0.05,0.79,0.16,0.22,0.09,0.35,0.11,0.93,0.15,0.05,0,0.16,0.72,29:25.7,29:53.2,0 days 00:00:27.457975,COMPLETE,,
737,737,19.38462857,0.25,0.71,0.46,0.91,0.4,0.59,0.58,0.31,0.14,0.51,0.42,0.02,0.59,0.17,0.24,0.05,0.3,0.19,0.97,0.2,0.02,0.05,0.19,0.48,50:33.4,51:18.9,0 days 00:00:45.497865,COMPLETE,,
888,888,19.38493528,0.09,0.47,0.65,0.75,0.43,0.5,0.66,0.21,0.14,0.5,0.41,0.87,0.98,0,0.09,0.02,0.5,0.22,0.84,0.24,0.26,0.04,0.06,0.52,45:39.4,46:20.1,0 days 00:00:40.706598,COMPLETE,,
826,826,19.38580259,0.09,0.56,0.65,0.73,0.43,0.48,0.63,0.26,0.16,0.48,0.33,0.9,0.93,0.11,0.13,0,0.48,0.13,0.84,0.35,0.22,0.03,0.13,0.55,58:12.7,59:09.1,0 days 00:00:56.462502,COMPLETE,,
