,number,value,datetime_start,datetime_complete,duration,params_precip_const_1,params_precip_const_2,params_precip_const_3,params_precip_const_4,params_precip_const_5,params_precip_const_6,params_precip_const_7,params_precip_const_8,params_precip_const_9,params_precip_const_10,params_precip_const_11,params_precip_const_12,params_residual_const,state
97,97,23.49616325,40:42.2,41:41.0,0 days 00:00:58.757982,0.94,0.23,0.94,0.92,0.15,0.25,0.47,0.66,0.82,0.79,0.95,0.54,0.37,COMPLETE
98,98,23.84226566,41:41.0,42:18.7,0 days 00:00:37.702970,0.8,0.35,0.87,0.99,0.12,0.26,0.05,0.59,0.28,0.84,0.91,0.82,0.26,COMPLETE
99,99,23.26967818,42:18.7,42:51.6,0 days 00:00:32.942030,0.85,0.28,0.84,0.8,0.23,0.36,0.28,0.61,0.13,0.77,0.86,0.49,0.45,COMPLETE
100,100,22.78117686,34:40.3,35:18.3,0 days 00:00:37.951588,0.97,0.29,0.88,0.89,0.19,0.33,0.14,0.56,0.16,0.86,0.89,0.57,0.32,COMPLETE
101,101,22.72029137,35:18.3,36:08.0,0 days 00:00:49.659181,0.69,0.28,0.88,0.9,0.19,0.32,0.18,0.56,0.16,0.86,0.88,0.63,0.31,COMPLETE
102,102,22.8071259,36:08.0,36:58.6,0 days 00:00:50.641460,0.68,0.25,0.89,0.9,0.2,0.32,0.15,0.63,0.16,0.9,0.87,0.56,0.31,COMPLETE
103,103,23.13018158,36:58.6,37:49.2,0 days 00:00:50.589079,0.64,0.07,0.89,0.93,0.15,0.33,0.07,0.55,0.19,0.87,0.88,0.57,0.31,COMPLETE
104,104,23.05177813,37:49.2,38:45.9,0 days 00:00:56.738320,0.69,0.25,0.87,0.86,0.19,0.32,0.14,0.65,0.22,0.92,0.94,0.53,0.34,COMPLETE
105,105,23.46436287,38:45.9,39:18.0,0 days 00:00:32.027661,0.53,0.18,0.95,0.9,0.21,0.28,0.03,0.68,0.24,0.87,0.98,0.64,0.31,COMPLETE
106,106,22.99794873,39:18.0,40:09.4,0 days 00:00:51.451810,0.59,0.38,0.9,0.85,0.16,0.3,0.18,0.75,0.11,0.93,0.9,0.57,0.27,COMPLETE
107,107,23.06292379,40:09.4,40:49.9,0 days 00:00:40.446600,0.62,0.21,0.98,0.96,0.05,0.37,0.15,0.71,0.16,0.85,0.87,0.51,0.41,COMPLETE
108,108,23.5195239,40:49.9,41:37.5,0 days 00:00:47.594224,0.58,0.33,0.83,0.82,0.11,0.45,0.09,0.6,0.09,0.81,0.91,0.68,0.23,COMPLETE
109,109,24.34717625,41:37.5,42:15.2,0 days 00:00:37.773535,0.86,0.41,0.94,0.24,0,0.42,0.11,0.56,0.08,0.77,0.81,0.62,0.35,COMPLETE
110,110,23.35727444,42:15.2,42:44.9,0 days 00:00:29.668221,0.46,0.28,0.91,0.88,0.09,0.34,0.17,0.48,0.26,0.89,0.97,0.55,0.28,COMPLETE
111,111,23.02926806,42:44.9,43:26.0,0 days 00:00:41.088017,0.7,0.31,0.85,0.89,0.27,0.24,0.22,0.63,0.16,0.72,0,0.65,0.39,COMPLETE
112,112,22.58879418,43:26.0,44:07.7,0 days 00:00:41.751242,0.74,0.24,0.81,0.95,0.24,0.27,0.26,0.62,0.15,0.85,0.89,0.58,0.32,COMPLETE
113,113,22.53005625,44:07.7,44:51.4,0 days 00:00:43.647000,0.67,0.24,0.88,1,0.25,0.32,0.26,0.53,0.14,0.94,0.89,0.58,0.33,COMPLETE
